composer,composer_cyrillic,gender,birth,death,currently,diaspora,studied,taught,worked,member_of_National_Union_of_Composers_of_Ukraine,sources,personal_website,in_contact
"GRINBERG, Alexander","Ґрінберґ, Олександр ",Male,"March 2nd, 1961 in Kharkiv, Ukraine",-,Germany,Germany (moved in 2023),"Kharkiv Music College (1980), KhNUA (1985) comp with I. Kovach","Kharkiv Music School (1987-95) comp, theory & history, Kharkiv Music College (1987-94 & 2000-03) , KhNUA (1994-2003) comp, theory, Folkwang Universitat der Kunste in Essen (2005-06) musicology, Marina Kheifets Mussikschule Subito und Akademie in Dusseldorf (2008-?)",-,joined (date unknown),"ESU, Grove, LCP, Sonevytsky (83), UME (I: 571), NUCU website",-,-
"GUBANOV, Yakov","Губанов, Яков",Male,"January 8th, 1954 in Kyiv, Ukraine","March 21st, 2025 in Vienna, Austria",-,"Austria (2023–25), Italy (2014–23), USA (2002–14), Germany (1992–2002)","NMAU (1973) comp with A. Shtoharenko, MSC (1976) comp with A. Pirumov, (1983) Phd music theory; Private studies: comp with D. Shostakovich ","NMAU (1979–92) associate professor in theory department, Franz Liszt Hochschule fur Musik (Weimar) guest professor (1992–93), Berklee University (2002–14) comp professor",Harvard Film Archive composer-in-residence (1998–2014),joined (1979),"ESU, Karas, Korniy, Mukha (80-81), Rozhok, Shank (127), Sonevytskyi (87), UME (I: 546-47), UMW, Vilkova (77), NUCU website, 1984 (49–50), 2006 (15)",https://www.yakovgubanov.com/,via email 
"GUGEL, Aleksandr","Гугель, Олександр",Male,"January 24th, 1961 in Vilnius, Lithuania",-,-,-,KhNUA (1991) comp with V. Bibik,Music Schools in Kharkiv (1986-),flute in regimental orchestra (1984-6),joined (1989),"ESU, Gnativ (41), Grove, Mukha (82), Sonevytsky (89), NUCU website, 2006 (49)",-,-
"GUSYEV, Yuriy","Гусєв, Юрій",Male,"January 31st, 1959 in Kursk, Russia","December 18th, 2016 in Kharkiv, Ukraine",-,-,"KhNUA (1992) history/theory, (1996) comp with V. Drobyazhina",Music Studio at Kharkiv Gymnasium & Artist Orchestra of Kharkiv Air Force University (1994–),Artist for Kharkiv Association of Musical Ensembles (1991–93),joined (1999),"ESU, Mukha (84), UME (I: 559), NUCU website, 2006 (49–50)",-,via email with wife Iryna Guseyev 
"HAIDENKO, Igor","Гайденко, Ігор",Male,"January 11th, 1961 in  Khorosheve, Kharkiv oblast, Ukraine",-,-,-,KhNUA (1985) pno; KhNUA (1990) comp with V. Zolotukhin; SPSC (1993) comp with N. Slonimsky; (2006) PhD,KhNUA (1988–),-,joined (1992),"ESU, Mukha (63), Sonevytskyi (71), UME (I: 433), NUCU website, 2006 (48–9)",-,Via email
"HAVRYLETS, Hanna","Гаврилець, Ганна",Female,"April 11th, 1958 in Vydyniv, Ivano-Frankivsk oblast, Ukraine (sister Bohdana Frolyak)","February 27th, 2022 in Kyiv, Ukraine",-,-,LNMA (1982) comp with V. Flys; NMAU (1984) comp with M. Skoryk; Private studies: comp with A. Nikodemich (1975–77),NMAU (1992–2022),-,"joined (1985), consultant (1984–92), head of Kyiv branch (1999–2010)","ESU, Gnativ (35), Grove, Karas, Korniy, Mukha (60–61), Musicalics, NMU, Rozhok, Shank (111–12), Sonevytskyi (73–74), UCMF, UL, UME (I: 425–26), UMW, Vilkova (53–54), VUE, NUCU website, 2006 (12)",-,via email with husband Dmytro Gavrylets 
"HERASYMENKO, Oksana","Герасименко, Оксана",Female,"June 2nd, 1959 in Lviv, Ukraine from a musical family (daughter of bandurist Vasyl Herasymenko)",,-,-,"LNMA (1982) bandura, (2005) comp with M. Skoryk",LNMA (1991-) bandura,"music supervisor for Especialista de Musica in Cuba (1983-89), bandurist in Lvivianky Trio (1974-82) touring internationally such as Moldova, Poland, Vietnam and Japan; solo and chamber bandurist (1985-) for various concerts and groups internationally, editor of bandura repertoire collections",joined (2006),"ESU, Gnativ (35-36), UASP, UME (I: 450-51), UMW, Vilkova (60), VUE, NUCU website, 2006 (59)",-,via email
"HNATOVSKA, Olena","Гнатовська, Олена",Female,"March 10th, 1949 in Orel, Russia","November 2007 in Kharkiv, Ukraine",-,-,"KhNUA (1974) pno, (1979) comp with D. Klebanov, NMAU (1986) comp with Y. Ishchenko",KhNUA (1979–?) pno,jury member of children’s festivals,joined (1994),"ESU, Mukha (69), Sonevytskyi (77), UMW, NUCU website, 2006 (49)",-,-
"HODZIATSKY, Vitaliy","Годзяцький, Віталій",Male,"December 26th, 1936 in Kyiv, Ukraine",-,-,-,NMAU (1961) comp with B. Lyatoshynsky,"Vinnytsia music school (1961–63) & music schools in Kyiv (1963–74, 1982–)",music director ensembles for Dovzhenko Cinema in Kyiv (1975–82),"(1969–70, 1973–) Briefly for a couple years he was not a member due to a little scandal at the official meeting that was provoked by Ihor Blazhkov, which Hodziatsky joined in on. ","Dytynyak (39), ESU, Gnativ (36–37), Grove, Lunyna (377–430), Karas, Korniy, Mukha (69–70), Musicalics, NMU, Rozhok, Schwarz, Shank (115), Sonevytskyi (78–79), UCMF, UME (I: 483–84), UMW, Vilkova (65), Zagaykevych (154, 157–159),  NUCU website, 1978 (33), 1984 (38–39), 2006 (13)",-,-
"HOMOLYAKA, Vadym"," Гомоляка, Вадим",Male,"October 17th, 1914 in Kyiv, Ukraine","May 7th, 1980 in Kyiv, Ukraine",-,-,"NMAU (1939–41) history/theory, Tashkent Conservatory (1941–42), NMAU (1946) comp with L. Revutsky",NMAU (1946–48),head of Muzfond Ukraine (1958–76),joined (date unknown) secretary (1951–56),"Dytynyak (40), ESU, Gnativ (37), Ho (187), Karas, Korniy, Kubikovyc (II: 215), Mukha (72–73), Musicalics, Piirainen, Shank (117), Sonevytskyi (79–80), UME (I: 495), UMW, Vilkova (68), VUE, 1968 (35–36), 1978 (34–35)",-,-
"HOZENPUD, Matviy","Гозенпуд, Матвій",Male,"May 21st, 1903 in Kyiv, Ukraine","February 17th, 1961 in Novosybirsk, Russia",-,Russia,"NMAU (?) pno, comp with R. Gliere","NMAU (1921-49) pno & comp, Alma-Ata Conservatory (1951-53), Novosibirsk Conservatory (1953-61) head of pno department",-,joined (1951),"Dytynyak (39-40), ESU, Gnativ (39), Mukha (70-71), Shank (118-19), Sonevytsky (81-82), UMW, Vilkova (65)",-,-
"HRABOVSKY, Leonid","Грабовський, Леонід",Male,"January 28th, 1935 in Kyiv",-,"New Jersey, USA",USA (moved in 1990),"KU (1956) economics, NMAU (1959) comp with L. Revutsky* & B. Lyatoshynsky, (1962) *Only studied for one year from 1955-56 with Revutsky. The rest of his studies was with Lyatoshynsky.",NMAU (1961–1963 & 1966–1968),"editor for Soviet Muzyka magazine in Moscow (1987–1990), composer-in-residence Ukrainian Institute of America in New York (1990–1994), church organist in America (1990s)",joined (1961),"Baley, Dytynyak (40), ESU, Gnativ (39), Grove, Ho (190–191), IEU, Karas, Korniy, Kubikovyc (II: 237), Lunyna (431–498), Mukha (75–76), Musicalics, NMU, Novytska, Piirainen, Schwarz, Shank (119), Shchetynsky, Slonimsky (II: 640), Sonevytskyi (82–83), Tsenova (84–97), UCMF, UME (I: 515–17), UMW, Vilkova (72–73), VUE, Zagaykevych (154–156), NUCU website, 1968 (43–44), 1978 (39–40), 2006 (102)",http://www.leonidhrabovsky.com/index.html,via email 
"HROMADSKY, Ihor",Громадський Ігор,Male,"January 6th, 1976 in Trostyanets, Vinnytsia oblast, Ukraine",-,-,-,"Academy of New Composition and Audio Art (1999) comp with B. Schaeffer & M. Kolonevsky, NMAU (2000) comp with Y. Lapinsky & L. Kolodub, (2004) comp with T. Kuznetsov",-,-,joined (2000),"ESU, Mukha (79), NUCU website, 2006 (15)",-,-
"HRZHYBOVSKY, Mykola","Гржибовський, Микола",Male,"December 18th, 1908 in Odesa, Ukraine","August 9th, 1987 in Odesa, Ukraine",-,-,"Odessa Marine Institute (1935) engineering, ONMA (1946) comp with S. Orfeev & K. Dankevych",-,"ship repair engineer (1935–36), director of repair plant (1936–48), director of “Black Sea Project” (1966–?)",joined (date unknown) secretary of Odesa branch (1962–67),"Dytynyak (40–41), ESU, Mukha (77), Sonevytskyi (85), UASP, UME (I: 524) 1968 (45–46), 1978 (40–41), 1984 (44–45)",-,-
"HUBA, Volodymyr","Губа, Володимир",Male,"December 22nd, 1938 in Kyiv, Ukraine","December 2nd, 2020 in Kyiv, Ukraine",-,-,"NMAU (1957)* pno, comp with B. Lyatoshynsky (1979) comp with A. Shtoharenko *His studies were initially interrupted in 1957 due to his modernist view on music. He later returned and graduated in 1979. ",music schools in Kyiv,"music editor for Ukrainian Radio and Television, filmmaker, poet",joined (1977),"Baley, Beebe (33), Dytynyak (42), ESU, Gnativ (39–40), Grove, Ho (195–196), Karas, Korniy, Mukha (80), Musicalics, NMU, Rozhok, Shank (121), Sonevytskyi (86–87), UASP, UCMF, UME (I: 545–46), UMW, Vilkova (76), VUE, NUCU website, 1984 (47–49), 2006 (15)",-,-
"HUBARENKO, Iryna","Губаренко, Ірина ",Female,"June 30, 1959 in Kharkiv, Ukraine (musical family: father Vitaliy Hubarenko; mother Maryna-Cherkashyna-Hubarenko)","October 10, 2004 in Kharkiv, Ukraine",-,-,"Kharkiv Music School (1979), KhNUA (1984) comp with V. Zolotukhin, NMAU (2004) working on PhD thesis when passed away “Director’s Concepts of the Twentieth Century in the Light of Analytical Psychology”",-,"Kharkiv Young Spectator Theatre (1984-?) head of music department, founder of collective “Poor Theatre” (1987), poet",-,"UME (I: 548-9), UMW",-,-
"HUBARENKO, Vitaliy","Губаренко, Віталій",Male,"June 13th, 1934 in Kharkiv, Ukraine","May 5th, 2000 in Kyiv, Ukraine",-,-,KhNUA (1960) comp with D. Klebanov,"Kharkiv Children's Music School (1958–60), KhNUA (1961–72)",music editor Kharkiv Radio (1960–?),"joined (1961), on the board","Baley (The 20th Century), Drabyna (26–36) Dytynyak (42), ESU, Gnativ (39–40), Grove, Herman (I: 78–79), Ho (197), IEU, Korniy, Kubikovyc (II: 262), Mukha (81–82), Musicalics, Rozhok, Schwarz, Shank (122), Sonevytskyi (88), UASP, UME (547–48), UMW, Vilkova (77–78), VUE, NUCU website, 1968 (47), 1978 (43–44), 1984 (50–51)",-,-
"HUMENIUK, Illia","Гуменюк, Ілля",Male,"March 21st, 2000",-,"Tallinn, Estonia",Estonia,"Mykolaiv College of Musical Arts (2019) cond, comp with S. Kumysh, Estonian Academy of Music and Theatre (2024) Bachelor in cond, comp with T. Kõrvits, (2024–) Master in cond",-,"cond of Mixed Choir of Tuljak (2024–), Mixed choir Wannamoisa (2023–), Chambers Choir Avis Animi (2024), Mixed Choir of the Rocca al Mare School (2023–24), Mixed Choir HUIK! (2023), Womens Choir Virvik (2022–23), Metropolitan Choir of the Cathedral in Ukraine (2020–21), composer-in-residence of Kraziai College (2024), Spectacle Lohe linna all (2022), Orthodox Singers (2022–23), singer with various choirs in Ukraine and Estonia such as Collegium Musicale (2023), EMTA Choir (2021–) and Orthodox Singers (2020–)",-,-,https://www.illiahumeniuk.com,via email 
"HURINA, Anna","Гуріна, Анна",Female,"April 23rd, 2003 in Cherkasy, Ukraine",-,-,-,"LNMA (2022-) voice, comp with O. Manulyak, Cherkasy Miusic College (2018-22) pno, comp with Y. Marchuk",-,-,-,UL,-,via email
"ISHCHENKO, Yuriy","Іщенко, Юрій",Male,"May 5th, 1938 in Kherson, Ukraine","May 15th, 2021 in Kyiv, Ukraine",-,-,"NMAU (1960) comp with A. Shtoharenko, (1964), (1977) Phd “The Dramatic use of Timbre in the Symphonies of Lyatoshynsky”",NMAU (1962–2021),-,joined (1963),"Dytynyak (57–58), ESU, Gnativ (41–42), Grove, Ho (217), Lunyna (347–376), Korniy, Mukha (120–121), Musicalics, Piirainen, Rozhok, Shank (128), Sonevytskyi (101–102), UASP, UL, UME (II: 264–66), UMW, Vilkova (116–17), VUE, NUCU website, 1968 (90), 1978 (80–81), 1984 (91–93), 2006 (21)",-,"via email with daughter, Nadiya Shcherbakov & former student, Alex Voytenko "
"JACOBCHUK, Alexander","Яковчук, Олександр",Male,"May 21st, 1952 in Cherche, Khmelnytskyi Oblast, Ukraine",-,"Etobicoke, Canada",Canada,NMAU (1976) comp with A. Kolomiets,NMAU (2009–25),"editor for Ukrainian State Radio Company (1976–79), director of Kyiv Youth Theatre (1979–83), composer-in-residence for Opera House in Novi Sad, Yugoslavia (1990–92), folklorist collecting folk songs",joined (1978),"N. Jacobchuk, Karas, Korniy, Kushniruk, Mukha (341–342), Rozhok, Shank (295), Sonevytskyi (90–91), UASP, UMW, Vilkova (353–55), NUCU website, 1984 (273–274), 2006 (105)",https://www.jacobchuk.com/,via email and in person
"KAFAROVA (Rozova), Veronika","Кафарова (Розова), Вероніка",Female,"January 13th, 1953 in Dnipro, Ukraine",-,-,-,KhNUA (1978) comp with V. Borysov,DnMS no. 19 (1978–2001),"cond Dnipro association of music ensembles (1980-86), artistic director of Rossini choir (2003–?)",joined (1984),"ESU, Mukha (130), Shank (135), Sonevytskyi (106), 1984 (195), UME (II: 342), NUCU website, 2006 (95)",-,-
"KALLOS, Sandor","Каллош, Шандор",Male,"October 23rd, 1935 Chernivtsi, Ukraine",-,-,Russia,"LNMA (1961) comp with A. Soltys, GMI (1964) comp with Y. Shaporin",-,"vln in various orchestras in Ukraine (1954-63), lute (1971-), cond (1975-), vln with Moscow Philharmonia (1975-)",-,"Gnativ (42-43), Grove, Mukha (123), Shank (136)",-,-
"KAMINSKY, Viktor","Камінський, Віктор",Male,"April 8th, 1953 in Nyvra, Ternopil Oblast, Ukraine",-,-,-,"LNMA (1977) comp with V. Flys, MSC (1983) comp with T. Khrennikov",LNMA (1999-) pro-rector (2002),Author of textbook: Elektronna ta komp’yuterna muzyka (Electronic and Computer Music) (2001),"joined (1979), head of Lviv branch (2020–)","ESU, Gnativ (43), Karas, Korniy, Mukha (124–125), Sonevytskyi (108), UL, UME (II: 299), UMW, Zagaykevych (163), Vilkova (121–22), VUE, NUCU website, 1978 (235), 1984 (97–98), 2006 (60)",-,via email 
"KANERSHTEIN, Oleksandr","Канерштейн, Олександр",Male,"June 13th, 1933 in Kyiv, Ukraine","December 24th, 2006 in Kyiv, Ukraine",-,-,"NMAU (1955) comp with B. Lyatoshynsky, (1956) pno","GKIM (1957–?), pno soloist with Lviv Philharmonic",-,joined (1961),"Dytynyak (59), ESU, Ho (236), Rozhok, Sonevytskyi (108-109), UL, UME (II: 311), UMW, Vilkova (122), 1968 (93), 1978 (84), 1984 (98–99), 2006 (21)",-,-
"KARMAZIN, Anton","Кармазін, Антон",Male,"June 6th, 1982 in Baryshivtsi, Kyiv oblast, Ukraine",-,-,-,"NMAU (2007) comp with B. Stronko, KU (2006), (2021) Phd “National History of Artistic Images as the Essence of Composer’s Creativity of Mykhailo Verykivsky”",-,"Museum of Theatre (2017–), Music & Cinema of Ukraine (2017–)",joined (2006),NUCU Website,-,via email
"KARNAK, Andriy","Карнак, Андрій",Male,"June 11th, 1968 in Vasylivka, Zaporizhia oblast, Ukraine","December 18th, 2020 in Kyiv, Ukraine",-,-,"DSMA (1995) comp with S. Mamonov, NMAU (1998) comp with I. Kotlyarevsky, (2001) Phd",KU (2000–2020) sound recording (2002–2003) department head,-,joined (2003),"ESU, Mukha (128–129), UME (II: 334), UMW, Vilkova (126), NUCU website, 2006 (21–22)",www.akarnak.wixsite.com,via email with wife Olha Karnak
"KARABITS, Ivan","Карабиць, Іван",Male,"January 17th, 1945 in Yalta, Donetsk oblast","January 20th, 2002 in Kyiv",-,-,"Artemvisk Music College (1963), NMAU (1971) comp with B. Lyatoshynsky & M. Skoryk",NMAU (1983-2002) comp,"conductor Song & Dance Ensemble in Kyiv (1968-75), founder & director Kyiv Music Fest (1990-2001), music director Kyiv Camerata (1994-2000), music advisor Ministry of Culture of Ukraine, chairman of jury of Horowitz International Piano Competition (1995-2002), member of National Commission on Cultural Affairs under UNESCO",joined (1972),"Baley, Dytynyak (59-60), ESU, Gnativ (44), Grove, IEU, Mukha (126-27), Kubikovyc (II: 419), NMU, Shank (140), Sonevytsky (109-110), UASP, UL, UME (II: 325-27), UMW, Vilkova (122-23), VUE, NUCU website, 1978 (85-86), 1984 (100-01)",https://www.karabits.com/en/,via email with daughter Ivanka Karabits
"KASHYRTSEV, Ruslan","Каширцев, Руслан",Male,"November 9th, 1990 in Kharkiv, Ukraine",-,-,-,"KhNUA (2014) cl, (2016) comp with V. Drobiazgina, (2022) Phd “Interpretative Potential of Timbre and Texture in Orchestral Works of Composers of the First Half of the 20th Century” supervisor M. Borysenko",KhNUA (2020–),"has played cl with various ensembles such as Kharkiv National Opera & Ballet, Kharkiv Philharmonic",-,-,-,via email
"KHAZOVA, Hanna","Хазова, Ганна",Female,"July 4th, 1975 in Zaporizhia, Ukraine",-,-,-,"DSMA (1999) comp with O. Rudyansky, K. Szymanowski Music Academy in Katowice (2004) comp with A. Lason",Zaporizhia Music College (1998-2022) music theory,,joined (2003),NUCU website,-,via email 
"KHUTORIANSKY, Ihor","Хуторянський, Ігор ",Male,"December 21st, 1924 in Nemyriv, Vinnytsia oblast, Ukraine","January 13th, 1984 in Kyiv, Ukraine",-,-,"Sverdlovsk Conservatory (?) comp with V. Trambitskyi, NMAU (1955) Kyiv Conservatory comp with L. Revutsky",Lysenko Music School in Kyiv (1957-67),senior editor for Muzychna Ukraina (1967-?),joined (date unknown),"Mukha (315), Sonevytsky (114), UMW",-,-
"KIKTA, Valeri","Кікта, Валерій",Male,"October 22nd, 1941 in Volodymyrivka, Donetsk oblast, Ukraine",-,Russia,Russia,"Moscow School of Choral Music (1960) comp with A. Sveshnikov, MSC (1965) comp with S. Bogatyrov & T. Khrennikov (1967) comp with T. Khrennikov",MSC (1991–),"editor for Soviet Composers in Moscow (1967–1993), director of Russian Harp Society, secretary for Union of Composers of Russia (2006–)",-,"Baley, ESU, Grove, Herman (II: 32–33), Ho (259–260), Karas, Mukha (135–136), Musicalics, Shank (151), Sonevytskyi (115), UME (II: 414), UMW, Vilkova (132–33)",-,-
"KITSENKO (KYTSENKO), Dmitry (Dmytro)"," Киценко, Дмитро",Male,"July 24th, 1950 in Bila Tserkva, Kyiv Oblast, Ukraine",-,"Newmarket, Canada",Canada (moved in 2010),"Chisinau Institute of Arts in Moldova (1973) acc, (1977) comp with S. Lobel, Bucharest Academy of Music (1992) comp with T. Olah","Chisinau Institute of Arts in Moldova (1977–1982), Chisinau Conservatory (1990–2002), GKIM (2002–2004)",editor for Muzychna Ukraina (2005–2010),joined (2003) (prior member of Union of Soviet Composers (1979–1990),"ESU, Grove, Mukha (134), UME (II: 409–10), NUCU website, 2006 (23)",https://dkitsenko.wixsite.com/dmitry-kitsenko,via email 
"KLEBANOV, Dmytro","Клебанов, Дмитро",Male,"July 25th, 1907 in Kharkiv, Ukraine","June 6th, 1987 in Kharkiv, Ukraine",-,-,KhNUA (1926) comp with S. Bogatyrov,"KhNUA(1934–?) theory, (1944–?) comp, (1970–?) head of department","violist in Leningrad opera and ballet orchestra (1927–28), conductor of Kharkiv radio symphony orchestra (1927–28), author of “Art of Instrumentation” textbook","joined (1932), head of Kharkiv branch (1948–49)","Dytynyak (63), ESU, Grove, Herman (II: 33–34), Ho (261–62), IEU, Karas, Korniy, Kubikovyc (II: 563–64), Mukha (136), Olkhovsky, Piirainen, Rozhok, Shank (152–53), Sonevytsky (116–117), Slonimsky (III: 497), UASP, UL, UME (II: 425–26), UMW, Vilkova (134), VUE, Zolotovytska, NUCU website (blank), 1968 (100–01), 1978 (90–92), 1984 (107–09)",-,-
